text	label	Pattern Category
218 personnes ont ajouté cet article à leurs paniers	1	Social proof
Quelqu'un de Norvège a acheté une râpe Super FG - 12x plus rapide - 15 % de réduction	1	Social proof
Gros succès	1	Social proof
Quelqu'un vient d'acheter	1	Social proof
1 142 personnes viennent d'ajouter au panier	1	Social proof
9 personnes regardent	1	Social proof
77 personnes aiment	1	Social proof
Une autre personne vient de passer commande	1	Social proof
24 ventes dans ces dernières 24 heures	1	Social proof
45 personnes ont ajouté ceci à leur panier dans ces dernières 24 heures	1	Social proof
19 personnes ont vu ce produit aujourd'hui	1	Social proof
quelqu'un a acheté	1	Social proof
40 personnes sont actuellement en train d'utiliser notre site 	1	Social proof
1 personne est en train de regarder ce produit	1	Social proof
Acheté par 39 personnes dans les dernières heures!	1	Social proof
Dans le panier de 43 personnes	1	Social proof
80 personnes considèrent ce produit actuellement	1	Social proof
71 personnes ont acheté ce produit	1	Social proof
71 personnes ont acheté cet objet	1	Social proof
25 432 personnes ont vu cet objet	1	Social proof
5 personnes ont regadré aujourd'hui	1	Social proof
78 personnes cherchent ce produit	1	Social proof
227 déjà achetés	1	Social proof
6 personnes ont déjà acheté chez nous aujourd'hui	1	Social proof
3 personnes ont récemment regardé	1	Social proof
récemment regardé, d'autres personnes ont vu il y a quelques heures	1	Social proof
2 vues par heure	1	Social proof
1 autre client a ce produit dans son panier	1	Social proof
Si populaire ! 21 achats ces derniers 7 jours	1	Social proof
plus de 38 ont acheté	1	Social proof
quelqu'un en Espagne vient d'acheter	1	Social proof
plus de 2 personnes viennent de regarder ce produit	1	Social proof
8 personnes regardent cette oeuvre	1	Social proof
Un client a acheté ce produit il y a 53 min	1	Social proof
déjà dans le panier d'autres clients	1	Social proof
24 personnes intéressées	1	Social proof
9 personnes regardent ça	1	Social proof
4 ventes en moins de 5 heures	1	Social proof
Quelqu'un vient juste d'ajouter Radiance - Nebulizing Diffuser® à leur panier	1	Social proof
il s'est écoulé 18 min depuis le dernier achat	1	Social proof
à la mode ! Ce produit a été ajouté à un panier 39 fois aujourd'hui	1	Social proof
8 personnes l'ont dans leur sac actuellement	1	Social proof
Le plus populaire	1	Social proof
65% de nos clients ont ajouté Surefit protection cette année	1	Social proof
33 personnes ont jeté un oeil à cet objet	1	Social proof
Ce produit a été vu par une autre personne il y a 6 secondes	1	Social proof
acheté 6 fois cette semaine	1	Social proof
39 l'ont acheté récemment	1	Social proof
aimé par 400 personnes!	1	Social proof
142 achats	1	Social proof
Chloé vient d'économiser 68€ sur sa commande	1	Social proof
Stylé! vendu 4 fois aujourd'hui	1	Social proof
105 parents achèten ça pour leurs enfants maintenant	1	Social proof
François a acheté un	1	Social proof
Ajouter à la wishlist (13 personnes ont ajouté)	1	Social proof
404 commandes	1	Social proof
61 personnes ont acheté ceci aujourd'hui avec 50 % de réduction	1	Social proof
1044 vendus dans les derniers 6 mois	1	Social proof
dernière vente à 11:36 aujoud'hui	1	Social proof
Ce que les gens pensent de nous...	1	Social proof
Notre meilleure vente	1	Social proof
Prix compétitif	1	Social proof
D'autres personnes ont aussi acheté	1	Social proof
Ce produit est fortement demandé	1	Social proof
Plus de 1 k achetés au cours du mois dernier	1	Social proof
